        INPUT LENGTH          LCS LENGTH     RECURSIVE CALLS                TIME
                   5                   3                  54                   0
                   7                   5                 118                   0
                   9                   6                 811                   1
                  11                   7                9112                   7
                  12                   7              104309                  62
                  14                   8              540154                 253
                  16                   9             3716325                 291
                  19                  10            49558939                3417
                  21                  12           408467665               25133
